19056 usec, 9200 usec
4160 usec, 820 usec
300 usec, 760 usec
360 usec, 740 usec
360 usec, 700 usec
420 usec, 680 usec
440 usec, 660 usec
420 usec, 680 usec
440 usec, 680 usec
440 usec, 640 usec
1560 usec, 660 usec
1560 usec, 640 usec
1600 usec, 600 usec
1600 usec, 620 usec
1600 usec, 620 usec
1620 usec, 580 usec
1640 usec, 560 usec
1640 usec, 580 usec
540 usec, 560 usec
1640 usec, 580 usec
540 usec, 560 usec
1640 usec, 580 usec
540 usec, 560 usec
540 usec, 560 usec
540 usec, 580 usec
520 usec, 560 usec
1640 usec, 580 usec
540 usec, 580 usec
1620 usec, 580 usec
540 usec, 560 usec
1640 usec, 580 usec
1640 usec, 580 usec
1640 usec, 580 usec
1620 usec, 580 usec
39460 usec, 8920 usec
2200 usec, 580 usec
