48308 usec, 9340 usec
4240 usec, 840 usec
300 usec, 780 usec
340 usec, 760 usec
360 usec, 720 usec
420 usec, 700 usec
440 usec, 680 usec
440 usec, 680 usec
440 usec, 680 usec
460 usec, 640 usec
1600 usec, 660 usec
1580 usec, 660 usec
1600 usec, 640 usec
1600 usec, 640 usec
1620 usec, 640 usec
1620 usec, 600 usec
1640 usec, 620 usec
1640 usec, 600 usec
520 usec, 600 usec
540 usec, 560 usec
1680 usec, 580 usec
560 usec, 560 usec
540 usec, 600 usec
520 usec, 580 usec
540 usec, 580 usec
540 usec, 600 usec
1660 usec, 580 usec
1660 usec, 600 usec
540 usec, 560 usec
1660 usec, 600 usec
1660 usec, 600 usec
1660 usec, 560 usec
1680 usec, 600 usec
1640 usec, 600 usec
39960 usec, 9060 usec
2220 usec, 600 usec
