21484 usec, 9200 usec
4180 usec, 820 usec
300 usec, 780 usec
360 usec, 740 usec
360 usec, 700 usec
440 usec, 680 usec
440 usec, 640 usec
460 usec, 660 usec
460 usec, 660 usec
460 usec, 620 usec
1620 usec, 620 usec
1580 usec, 640 usec
1640 usec, 560 usec
1660 usec, 560 usec
1640 usec, 580 usec
1680 usec, 540 usec
1680 usec, 540 usec
1680 usec, 540 usec
1700 usec, 520 usec
1700 usec, 540 usec
1680 usec, 560 usec
1680 usec, 520 usec
560 usec, 560 usec
560 usec, 560 usec
560 usec, 540 usec
540 usec, 580 usec
560 usec, 560 usec
560 usec, 520 usec
540 usec, 580 usec
560 usec, 560 usec
1660 usec, 560 usec
1700 usec, 520 usec
1680 usec, 560 usec
1660 usec, 560 usec
39680 usec, 8920 usec
2240 usec, 560 usec
