40932 usec, 9180 usec
4200 usec, 800 usec
320 usec, 760 usec
380 usec, 720 usec
360 usec, 700 usec
440 usec, 680 usec
460 usec, 620 usec
440 usec, 680 usec
460 usec, 660 usec
460 usec, 620 usec
1600 usec, 620 usec
1580 usec, 620 usec
1640 usec, 580 usec
1640 usec, 580 usec
1620 usec, 600 usec
1660 usec, 540 usec
1680 usec, 540 usec
1660 usec, 580 usec
540 usec, 560 usec
540 usec, 560 usec
1680 usec, 560 usec
1640 usec, 580 usec
540 usec, 560 usec
540 usec, 560 usec
540 usec, 580 usec
540 usec, 580 usec
1640 usec, 580 usec
1680 usec, 520 usec
540 usec, 580 usec
540 usec, 580 usec
1660 usec, 560 usec
1660 usec, 560 usec
1660 usec, 560 usec
1660 usec, 560 usec
39580 usec, 8980 usec
2220 usec, 580 usec
