28140 usec, 9300 usec
4200 usec, 780 usec
340 usec, 760 usec
360 usec, 740 usec
420 usec, 660 usec
460 usec, 640 usec
460 usec, 660 usec
460 usec, 660 usec
480 usec, 620 usec
460 usec, 640 usec
1640 usec, 580 usec
1640 usec, 600 usec
1620 usec, 600 usec
1660 usec, 560 usec
1660 usec, 560 usec
1680 usec, 540 usec
1700 usec, 520 usec
1700 usec, 560 usec
580 usec, 520 usec
1700 usec, 540 usec
1680 usec, 560 usec
580 usec, 540 usec
580 usec, 520 usec
560 usec, 560 usec
580 usec, 560 usec
560 usec, 520 usec
1700 usec, 560 usec
560 usec, 540 usec
560 usec, 560 usec
1700 usec, 520 usec
1700 usec, 560 usec
1660 usec, 560 usec
1680 usec, 540 usec
1700 usec, 560 usec
39700 usec, 8960 usec
2240 usec, 560 usec
30164 usec, 9000 usec
2200 usec, 600 usec
