60224 usec, 9160 usec
4220 usec, 800 usec
320 usec, 780 usec
340 usec, 740 usec
340 usec, 780 usec
360 usec, 700 usec
440 usec, 640 usec
460 usec, 660 usec
460 usec, 660 usec
460 usec, 620 usec
1600 usec, 620 usec
1600 usec, 620 usec
1620 usec, 600 usec
1600 usec, 620 usec
1620 usec, 580 usec
1660 usec, 540 usec
1680 usec, 560 usec
1660 usec, 560 usec
1680 usec, 540 usec
1680 usec, 540 usec
1680 usec, 540 usec
580 usec, 540 usec
580 usec, 520 usec
560 usec, 560 usec
560 usec, 540 usec
580 usec, 540 usec
540 usec, 560 usec
560 usec, 540 usec
580 usec, 540 usec
1680 usec, 540 usec
1680 usec, 560 usec
1680 usec, 540 usec
1680 usec, 560 usec
1660 usec, 560 usec
39560 usec, 8960 usec
2220 usec, 560 usec
29804 usec, 8960 usec
2240 usec, 560 usec
