20328 usec, 9240 usec
4220 usec, 820 usec
320 usec, 780 usec
340 usec, 740 usec
360 usec, 760 usec
380 usec, 700 usec
420 usec, 660 usec
440 usec, 680 usec
460 usec, 660 usec
460 usec, 620 usec
1620 usec, 640 usec
1580 usec, 640 usec
1620 usec, 600 usec
1620 usec, 620 usec
1620 usec, 600 usec
1660 usec, 560 usec
1660 usec, 580 usec
1660 usec, 580 usec
1680 usec, 540 usec
1680 usec, 580 usec
1640 usec, 600 usec
520 usec, 600 usec
1640 usec, 580 usec
540 usec, 580 usec
540 usec, 560 usec
540 usec, 580 usec
540 usec, 580 usec
540 usec, 560 usec
540 usec, 580 usec
1700 usec, 540 usec
540 usec, 560 usec
1720 usec, 520 usec
1700 usec, 560 usec
1660 usec, 580 usec
39820 usec, 8960 usec
2240 usec, 560 usec
