36344 usec, 140 usec
6568 usec, 9300 usec
4240 usec, 820 usec
300 usec, 760 usec
340 usec, 780 usec
340 usec, 740 usec
400 usec, 680 usec
440 usec, 680 usec
440 usec, 680 usec
440 usec, 660 usec
460 usec, 660 usec
1580 usec, 640 usec
1600 usec, 660 usec
1580 usec, 640 usec
1600 usec, 620 usec
1620 usec, 620 usec
1640 usec, 600 usec
1640 usec, 580 usec
1640 usec, 600 usec
1660 usec, 580 usec
540 usec, 580 usec
1660 usec, 580 usec
540 usec, 580 usec
540 usec, 560 usec
540 usec, 600 usec
540 usec, 580 usec
540 usec, 560 usec
540 usec, 580 usec
1660 usec, 580 usec
540 usec, 580 usec
1660 usec, 580 usec
1640 usec, 600 usec
1660 usec, 580 usec
1660 usec, 580 usec
1640 usec, 600 usec
39800 usec, 9040 usec
2260 usec, 520 usec
