51748 usec, 9180 usec
4200 usec, 780 usec
340 usec, 760 usec
380 usec, 700 usec
400 usec, 680 usec
460 usec, 660 usec
460 usec, 620 usec
460 usec, 660 usec
480 usec, 640 usec
480 usec, 600 usec
1640 usec, 580 usec
1640 usec, 580 usec
1660 usec, 540 usec
1680 usec, 560 usec
1640 usec, 560 usec
1700 usec, 520 usec
1700 usec, 540 usec
1660 usec, 560 usec
1680 usec, 540 usec
1680 usec, 540 usec
580 usec, 520 usec
1700 usec, 560 usec
560 usec, 520 usec
560 usec, 560 usec
560 usec, 560 usec
560 usec, 540 usec
540 usec, 560 usec
580 usec, 540 usec
1660 usec, 560 usec
560 usec, 560 usec
1660 usec, 560 usec
1680 usec, 540 usec
1680 usec, 560 usec
1660 usec, 560 usec
39620 usec, 8940 usec
2240 usec, 560 usec
